,roles,companies,locations,experience,skills
135,"Data Scientist, Machine Learning Exp req",Creative Hands HR Consultancy,"Chennai, Bengaluru, Hyderabad",3-6 Yrs,"Data Science
Data scientist
Communication Skills
R
good communication
Algorithms
Data Extraction
Tableau"
136,Principal Data Scientist - Recommender system,TVS MOTOR COMPANY LTD,Bengaluru,8-10 Yrs,data
137,Data Scientist/Data Science,Skyleaf Consultants,Mumbai,8-13 Yrs,"matlab
python
bigdata
neural networks
robotics
machine learning
iot
deep learning"
138,Senior Data Scientist,vElement Technology Pvt Ltd,Pune,7-12 Yrs,"Process automation
SAP
data science
Javascript
HTML
JSON
microsoft
Order processing"
139,Senior Data Scientist,Harpreet Kaur Bhatti,Germany,5-10 Yrs,"Java
Python
SQL
Data Science
Amazon Redshift
Java Architecture
Javascript
Spark"
140,AWS Data Scientist- Exponentia.ai- Mumbai,Exponentia.ai,Mumbai,5-10 Yrs,"s3
Data Science
python
r
predictive modeling
Lead Data Scientist
machine learning
aws lambda"
141,We are hiring For Senior Data Scientist Role - Mumbai,RANDSTAD INDIA PVT LTD,Mumbai,4-9 Yrs,"data scientist
Machine Learning
Deep Learning
Data Science
Cloud Computing
Data Mining
Data Extraction
Data Visualization"
142,Cuelogic Technologies hiring Data Scientist with Healthcare domain exp,Cuelogic Technologies PVT Ltd,Pune,5-10 Yrs,"US Healthcare
Data Science
Sagemaker
Hyperparameter
numpy
Machine Learning
pandas
medical claims data"
143,Sr Data Scientist,ManpowerGroup Services India Private Limited,Mumbai,5-10 Yrs,"Matplotlib
NoSQL
Statistical Modeling
Data Mining
Seaborn
Tableau
Machine Learning
AWS"
144,Principal Software Engineer -data Scientist-from Pedigree Only,Peoplefy Infosolutions Pvt. Ltd.,Bengaluru,7-12 Yrs,"Data Science
r
ggplot
Data Scientist
data mining
Data Visualization
Tableau
Machine Learning"
145,Tomtom is Hiring For Senior Data Scientist,TomTom India Private Limited,Pune,8-12 Yrs,"Pytorch
Tensorflow
Data Science
Object Detection
Cnn
NLP
Computer Vision
Machine Learning"
146,Senior Data Scientist,Orcapod Consulting Services Private Limited,Bengaluru,6-10 Yrs,Artificial Intelligence
147,Senior Data Scientist,Danske IT & Support Services India Pvt Ltd,Bengaluru,5-9 Yrs,"python
r
SAS
DB2
Tableau
Statistics
SQL"
148,Senior Data Scientist,WELLS FARGO EGS (India) PRIVATE LIMITED,Bengaluru,6-10 Yrs,"python
text mining
machine learning"
149,"Data Scientist - Python and R , Matlab",HR Innovation Group,"Nagpur, Nagpur IT Park",5-10 Yrs,"R
adoption of AI/ML
Price Forecasting & Risk evaluation
MATLAB
Python"
150,Senior Data Scientist,Bigshyft Hiring for IPROM GROUP,Mumbai,6-10 Yrs,"R
Machine Learning ML
Statistical Modelling
MATLAB
Python"
151,Data Scientist (machine Learning /ai)- Financial Services,Mastermind Network,Delhi NCR,6-8 Yrs,"deep learning
python
natural language processing
data science
decision trees
text mining
random forest
machine learning"
152,Senior Data Scientist,Bigshyft Hiring for ThoughtFocus,Bengaluru,6-8 Yrs,"Scala
Hadoop
SciKit-Learn
Big data
Spark"
153,Data Scientist,Bigshyft Hiring for Indium Software,Chennai,5-8 Yrs,"Statistical Modelling
Machine Learning ML
AWS
Python"
154,Principal Data Scientist,Bigshyft Hiring for Cuelogic Technologies,Pune,4-7 Yrs,"Data Structures
Big Data
Machine Learning
Python"
155,Senior Data Scientist,Bigshyft Hiring for IPROM GROUP,Kolkata,8-12 Yrs,"Predictive Modelling
Machine Learning ML
Natural Language Processing NLP
Python"
156,Sr Data Scientist,Bigshyft Hiring for Zycus,Bengaluru,6-9 Yrs,"Hive
Hadoop
MySQL
Spark
Python"
157,Data Scientist - Fintech Credit Analytics Product Startup (bangalore),The Recruiters,Bengaluru,5-8 Yrs,"Algorithms
NLP
Data Scientist
Artificial Intelligence
Regression
Neural Networks
AI
Data Mining"
158,Lead - Data Scientist - Kota ( Rajasthan ).,Consult in India,Kota,4-9 Yrs,"Data Validation
Business Intelligence
C++
Big Data Analytics
Data Mining
Machine Learning
SQL
Data Integration"
159,Data Scientist,Consult Shekhar Pandey,"Delhi NCR, Bengaluru",5-10 Yrs,"Predictive Modeling
Pattern Recognition
R
SAS
Seaborn
Tableau
Machine Learning
Statistics"
160,Sr Data Scientist,ManpowerGroup Services India Private Limited,Mumbai,5-10 Yrs,"Matplotlib
NoSQL
Statistical Modeling
Data Mining
Seaborn
Tableau
Machine Learning
AWS"
161,Tomtom is Hiring For Senior Data Scientist,TomTom India Private Limited,Pune,8-12 Yrs,"Pytorch
Tensorflow
Data Science
Object Detection
Cnn
NLP
Computer Vision
Machine Learning"
162,Data Scientist/python Application Engineer,Impact HR Services Pvt.Ltd.,Bengaluru,6-11 Yrs,"Opencv
Image Processing
Web Technologies
Spacy
Machine Learning
Scikit - Learn
Web Scraping
Python"
163,Sr Data Scientist,Bigshyft Hiring for Zycus,Bengaluru,6-9 Yrs,"Hive
Hadoop
MySQL
Spark
Python"
164,Senior Data Scientist,Bigshyft Hiring for IPROM GROUP,Kolkata,8-12 Yrs,"Predictive Modelling
Machine Learning ML
Natural Language Processing NLP
Python"
165,Data Scientist,Bigshyft Hiring for Indium Software,Chennai,5-8 Yrs,"Statistical Modelling
Machine Learning ML
AWS
Python"
166,Principal Data Scientist,Bigshyft Hiring for Cuelogic Technologies,Pune,4-7 Yrs,"Data Structures
Big Data
Machine Learning
Python"
167,Data Scientist,Bigshyft Hiring for Worley,Mumbai,5-10 Yrs,"R
Algorithms
Spark
Machine Learning ML
Python"
168,Data Scientist,Bigshyft Hiring for Mobile Programming LLC,Bengaluru,4-6 Yrs,"R
Algorithms
MongoDB
Statistical Modelling
Python"
169,Data Scientist,TRIDENT LIMITED,Ludhiana,2-4 Yrs,"Product Development
Predictive Modeling
Business Solutions
Revenue Generation
Marketing"
