,roles,companies,locations,experience,skills
660,Senior Associate Data Scientist,Medline Industries India Private Limited,Pune,2-4 Yrs,"Data Science
R
NLP
Statistical Modeling
Information Retrieval
Machine Learning
Deep Learning
Predictive Analytics"
661,Data Scientist - Python/ R,Catalyst,Bengaluru,2-6 Yrs,"Product Development
Quantitative Analysis
Computer Science
Senior Management
Product Engineering
Organization Skills"
662,Data Scientist - Python - BFS - IIT/ DSE/ IIM/ NIT,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",2-5 Yrs,"Data Science
Data Scientist
Data Visualization
Data Modeling
Python"
663,Data Scientist,Hyrefox,Jaipur,2-5 Yrs,"Computer science
Data analysis
Operations research
MySQL
Machine learning
Data structures
Data mining
Software services"
664,Urgent requirement For Data Scientist Position,Walchandnagar Industries Ltd.,Pune,2-5 Yrs,"SAP
Data Analyst
Power Builder
Data scinetist
Python"
665,Data Scientist,AXCESS CONSULTANCY SERVICES,Hyderabad,0-5 Yrs,"data cleansing
Automation
Data analysis
tableau
data science
Manager Program Management
Data collection
Feasibility analysis"
666,Data Scientist - Uber Eats Payments,Uber,Hyderabad,3-8 Yrs,"Product management
Computer science
Root cause analysis
Business leadership
data science
Analytical
Data Analyst
Analytics"
667,Data Scientist,GD Research Center Pvt Ltd,Hyderabad,2-4 Yrs,"Data analysis
Team management
Data management
Project management
Consulting
Data collection
Project planning
Data mining"
668,Data Scientist,Tech Ringers,Hyderabad,2-5 Yrs,"BPO
Computer science
Operations research
Staffing
Pharma
Consulting
Hadoop
Industrial engineering"
669,Data Scientist,Skillsoft,Hyderabad,1-3 Yrs,"Process design
Logistic regression
NPV
Agile
Predictive modeling
Continuous improvement
Business solutions
Talent management"
670,"Data Scientist /Data Science Engineer with MNC, HYD/ BNG/ Delhi NCR",M Associates IT Services Pvt. Ltd.,"Delhi NCR, Bengaluru, Hyderabad",2-6 Yrs,"python
c++
c
java
data science
Data science engineer
Data Scientist
linux"
671,Associate Director Data Scientist- Data Architecture,Novartis Healthcare Pvt. Ltd.,Hyderabad,8-12 Yrs,"Data Science
Power Bi
Qlik Sense
Artificial Intelligence
Tableau
Data Architecture
R Shiny
Analytics"
672,Lead Data Scientist,Catalyst,Bengaluru,2-7 Yrs,"Data Science
Pattern Recognition
Artificial Intelligence AI
Image Processing
Computer Science
Data Mining
Research
Computer Vision"
673,Data Scientist,Bloom Consulting Services,Bengaluru,2-5 Yrs,"rest
algorithms
python
Risk analytics
testing
Financial services
sql
Data architecture"
674,Data Scientist,Diverse Lynx India Pvt. Ltd,Bengaluru,2-7 Yrs,"data science
Python"
675,Data Scientist,ETAIOTA Systems,Bhubaneshwar,2-5 Yrs,"Logistic regression
Data analysis
Simulation
Machine learning
Data mining
Econometrics
Analytics
Financial services"
676,Data scientist,Multi Recruit,Bengaluru,3-5 Yrs,"deep learning
data science
Application programming
Consulting
Social networking
Fraud analytics
Data structures
Research"
677,Data scientist,Meyrahkee,"Pune, Mumbai, Bengaluru",3-7 Yrs,"Computer science
GCP
Machine learning
Cloud
Manager Technology
Workflow
E-commerce
Data quality"
678,Data Scientist,Seven Consultancy,Noida,4-6 Yrs,"Cloud computing
Linux
Bloomberg
Finance
Design development
Programming
Deployment
MongoDB"
679,Sr . Data Scientist,Claim Genius India Pvt. Ltd.,"Nagpur, Hyderabad",7-8 Yrs,"Computer vision
Claims
Coding
Neural networks
Machine learning
Algorithm development
Data structures
Open source"
680,Data Scientist,Bloom Consulting Services,Bengaluru,2-5 Yrs,"rest
algorithms
python
Risk analytics
testing
Financial services
sql
Data architecture"
681,Data Scientist,EVC Ventures,Gurgaon,3-5 Yrs,"algorithms
python
css
rdbms
Forecasting
sql
nosql
Logistic regression"
682,Data Scientist,Diverse Lynx India Pvt. Ltd,Bengaluru,2-7 Yrs,"data science
Python"
683,Data Scientist - CrossTab IT Consulting,Crosstab IT Consulting,Mumbai,2-5 Yrs,"C++
Coding
Database design
Data structures
Business intelligence
Troubleshooting
Analytics
SQL"
684,Data Scientist,Blackcoffer,"Delhi, Bengaluru",2-5 Yrs,"Data Scientist
science
Scientist
Data"
685,Data Scientist,EVC LAB PRIVATE LIMITED,Gurgaon,3-5 Yrs,"Logistic regression
deep learning
RDBMS
Neural networks
Analytical
Machine learning
Forecasting
SQL"
686,Data Scientist,Emerging India Group,"Delhi, Noida",3-8 Yrs,"Social media analytics
Time series analysis
Analytical
Machine learning
Data collection
power bi
QlikView
Data mining"
687,Data scientist,Meyrahkee,"Pune, Mumbai, Bengaluru",3-7 Yrs,"Computer science
GCP
Machine learning
Cloud
Manager Technology
Workflow
E-commerce
Data quality"
688,Data Scientist,Cubois Technologies Private Limited,Pune,3-8 Yrs,"Backend
Front end
html5
MySQL
Javascript
Routing
Management
IOS"
689,Lead-Data Scientist,KRISHPAR TECHNOLOGIES PRIVATE LIMITED,"Chennai, Bengaluru",2-6 Yrs,"Computer vision
Image processing
Neural networks
Machine learning
Signal processing
Programming
Supervision
Python"
690,Data Scientist,DEWII,Gurgaon,2-7 Yrs,"Hospitality
Computer vision
Artificial Intelligence
Machine learning
Manager Technology
Facility management
Monitoring
SQL"
691,Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,"Jamshedpur, Mumbai, Bengaluru",2-7 Yrs,"Data analysis
Data management
HTML
HTTP
Information management
Data mining
Econometrics
Information technology"
692,Data scientist,Multi Recruit,Bengaluru,3-5 Yrs,"deep learning
data science
Application programming
Consulting
Social networking
Fraud analytics
Data structures
Research"
693,Sr Data Analyst/Data Scientist,Brillius technologies,Noida,3-6 Yrs,Sr Data Analyst/Data Scientist
694,Data Scientist,Beno Staffing,Gurgaon,2-7 Yrs,"Computer science
Data analysis
PDF
Image processing
Staffing
Machine learning
Natural language processing
Analytics"
695,Data Scientist -GCP,Oloop Technology Solutions,Hyderabad,8-12 Yrs,"Printing
GCP"
696,Data Scientist - Analytics & BI,Golechha Capital,Hyderabad,4-9 Yrs,"SAS
Analytical
Management consulting
Capital market
Business intelligence
Data mining
Portfolio management
Financial services"
697,Data Scientist,Diverse Lynx India Pvt. Ltd,Bengaluru,2-8 Yrs,"Logistic regression
SAS
data science
Machine learning
Data mining
Statistics
AWS
Analytics"
698,Data Scientist R C Python,Crosstab IT Consulting,Mumbai,2-5 Yrs,"C++
Coding
Database design
Data structures
Business intelligence
Troubleshooting
Information technology
Analytics"
699,Data Scientist,Diverse Lynx India Pvt. Ltd,Bengaluru,1-5 Yrs,"deep learning
data science
Analytics
Python"
700,Sr.Data Scientist,Innefu Labs,Delhi,3-8 Yrs,Python
701,Data Scientist,Diverse Lynx India Pvt. Ltd,Bengaluru,2-7 Yrs,"data science
Python"
702,Data Scientist,PNR Software Solutions Private Limited,Kolkata,2-6 Yrs,"data science
SAS
Analytical
Data collection
SPSS
QlikView
Oracle
Data mining"
703,Data Scientist,Blackcoffer,"Delhi, Bengaluru",2-5 Yrs,"Data Scientist
science
Scientist
Data"
704,Data Scientist,Meesho,Bengaluru,1-3 Yrs,"Computer science
Neural networks
spark
Machine learning
Hadoop
E-commerce
big data
SQL"
705,Data Scientist,ETAIOTA Systems,Bhubaneshwar,2-5 Yrs,"Logistic regression
Data analysis
Simulation
Machine learning
Data mining
Econometrics
Analytics
Financial services"
706,Data Scientist,Dasceq,Bengaluru,3-5 Yrs,"Computer science
SAN
Data analysis
French
Networking
Coding
Predictive modeling
MS Office"
707,Data Scientist,RedLotus,Mumbai,3-5 Yrs,"Computer science
SAN
Statistical modeling
French
Analytical
Machine learning
Cook
data visualization"
708,Data Scientist,Sapalogy Pvt. Ltd.,maharashtra,2-3 Yrs,"Statistical analysis
SAP consulting
data science
Machine learning
Data collection
Data mining
MATLAB
Statistics"
709,Data Scientist,RevenueCat,Remote,2-7 Yrs,"Data modeling
Database
Programming
Infrastructure
Wellness
Data warehousing
Product marketing
SQL"
710,Data Scientist,Emerging India Group,"Delhi, Noida",3-8 Yrs,"Social media analytics
Time series analysis
Analytical
Machine learning
Data collection
power bi
QlikView
Data mining"
711,Data Scientist,torcai digital media,Pune,3-6 Yrs,"Data analysis
data science
Machine learning
Mentor
Statistics"
712,Lead-Data Scientist,KRISHPAR TECHNOLOGIES PRIVATE LIMITED,"Chennai, Bengaluru",2-6 Yrs,"Computer vision
Image processing
Neural networks
Machine learning
Signal processing
Programming
Supervision
Python"
713,Data Scientist - NLP(Natural Language Processing),KEYS Inc,Coimbatore,3-8 Yrs,"Computer science
deep learning
Skill development
Social media
Machine learning
Hadoop
Programming
Natural language processing"
714,Data Scientist,Art of Living HR,Coimbatore,3-6 Yrs,"Statistical analysis
Artificial Intelligence
Programming
MongoDB
HR
Management
Data mining
Statistics"
715,Data Scientist,Cubois Technologies Private Limited,Pune,3-8 Yrs,"Backend
Front end
html5
MySQL
Javascript
Routing
Management
IOS"
716,Data Scientist,Seven Consultancy,Noida,4-6 Yrs,"Cloud computing
Linux
Bloomberg
Finance
Design development
Programming
Deployment
MongoDB"
717,Sr . Data Scientist,Claim Genius India Pvt. Ltd.,"Nagpur, Hyderabad",7-8 Yrs,"Computer vision
Claims
Coding
Neural networks
Machine learning
Algorithm development
Data structures
Open source"
718,Lead Data Scientist,ExecBoardinAsia,Hyderabad,11-15 Yrs,"Analytical
Machine learning
Data collection
Monitoring"
719,Data Scientist,Dasceq,Bengaluru,0-1 Yrs,"Computer science
Data analysis
French
Networking
Coding
Predictive modeling
MS Office
Data mining"
720,Sr.Data Scientist,Innefu Labs,Delhi,3-8 Yrs,Python
721,Data Scientist,Global Talent Pool,Bengaluru,2-4 Yrs,"Computer science
Data analysis
SAS
data science
data visualization
Ruby
SQL
Python"
722,Data Scientist,RANG INFOSOFT PVT. LTD.,Pune,2-5 Yrs,"critical care
Consultant
medicine
ICU
hospital
resident"
723,Data Scientist (Full time),Vicit Infot Tech,Bengaluru,2-7 Yrs,"data science
Machine learning
Linguistics
Tools
Time
Natural language processing
Open source"
724,Data Scientist,MIC Business Labs Pvt Ltd.,Meerut,2-7 Yrs,"Help Desk
Customer Service
customer relationship
access controls
Telephony support
Asset Management
Vendor Management
Information"
725,Data Scientist Machine Learning,NeenOpal Intelligent Solutions Pvt. Ltd.,Bengaluru,2-5 Yrs,"Usage
Machine learning"
726,Data Scientist Intrrnship in Mumbai,MAXGEN TECHNOLOGIES PRIVATE LIMITED,"Navi Mumbai, Thane, Mumbai(Sector-19D Vashi)",0-0 Yrs,"Data Science
data science internship in panvel
data science internship in kharghar
data science internship in navi mumbai
data science internship in vashi
data science internship in nerul
data science internship in sanpada"
727,Data Scientist,TRUECONNECT PEOPLE CONSULTING,Kolkata,2-7 Yrs,"Data Engineering
Data Integration"
728,Data Scientist,NICE Ltd,Pune,3-6 Yrs,"Computer science
Automation
SAS
SPSS
Data mining
Risk management
Business intelligence
Macros"
729,Data Scientist,Opscruise,Chennai,3-8 Yrs,"VMware
Assurance
Networking
Performance management
Time series analysis
Pattern recognition
Oracle
cisco"
730,Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,"Jamshedpur, Mumbai, Bengaluru",2-7 Yrs,"Data analysis
Data management
HTML
HTTP
Information management
Data mining
Econometrics
Information technology"
731,Data scientist,Meyrahkee,"Pune, Mumbai, Bengaluru",3-7 Yrs,"Computer science
GCP
Machine learning
Cloud
Manager Technology
Workflow
E-commerce
Data quality"
732,Data Scientist,O9 SOLUTIONS MANAGEMENT INDIA PRIVATE LIMITED,Bengaluru,3-5 Yrs,"Pytorch
Tensorflow
Anomaly Detection
Data Science
R
Supply Chain Planning
Demand Planning
Keras"
733,Associate Data Scientist | Gurgaon | 0.6 - 2 Years,XTAGE TECHNOLOGIES PRIVATE LIMITED,"Delhi NCR, Gurgaon",0-2 Yrs,"advanced analytics
modeling
market mix modeling
marketing analytics
regression
statistics"
734,Data Scientist,Eyeota,Pune,2-7 Yrs,"Computer science
GCP
data manipulation
Machine learning
Agile
big data
AWS
Analytics"
735,"Gramener is hiring ""Data Scientist Experts"" with Banking Domain",Gramener Technology - Data-science Firm,"Mumbai, Bengaluru, Hyderabad",5-8 Yrs,"Predictive Modeling
Business Insights
Data Architecture
Data Analytics
Machine Learning
Statistics"
736,Data Scientist / Sr. Data Scientist,PIRAMAL ENTERPRISES LTD,Vadodara,4-8 Yrs,"Computer science
Supply chain management
Prototype
Simulation
Machine learning
Agile
Analytics
SQL"
737,Data Scientist,HR Devi and Associates,Trivandrum,4-6 Yrs,"Help Desk
Customer Service
customer relationship
access controls
Telephony support
Asset Management
Vendor Management
Information"
738,Data Scientist,NICE Ltd,Pune,3-6 Yrs,"Computer science
Automation
SAS
SPSS
Data mining
Risk management
Business intelligence
Macros"
739,Data Scientist - Quality Assurance,NICE Ltd,Pune,3-5 Yrs,"Data analysis
Manager Quality Assurance
data science
Analytical
Machine learning
Anti money laundering
OLAP
Analytics"
740,Data Scientist,Snaphunt,Bengaluru,3-8 Yrs,"C++
C
Tableau
Data Analytics
Machine Learning
Statistical Analysis
Statistics
Deep Learning"
741,Data Scientist,Global Talent Pool,Bengaluru,2-4 Yrs,"Computer science
Data analysis
SAS
data science
data visualization
Ruby
SQL
Python"
742,Data Scientist,Diverse Lynx India Pvt. Ltd,Bengaluru,2-8 Yrs,"Logistic regression
SAS
data science
Machine learning
Data mining
Statistics
AWS
Analytics"
743,Data Scientist,RANG INFOSOFT PVT. LTD.,Pune,2-5 Yrs,"critical care
Consultant
medicine
ICU
hospital
resident"
744,Data Scientist,Demoport.in,Chennai,3-5 Yrs,"Computer science
Cluster analysis
System architecture
Solution design
Data analysis
cassandra
Analytical
Data mining"
745,Data Scientist,Mahajan Imaging,Delhi,2-6 Yrs,"Medical imaging
Focus
Clinical research
Data analytics
informatics
SQL"
746,Data Scientist (Full time),Vicit Infot Tech,Bengaluru,2-7 Yrs,"data science
Machine learning
Linguistics
Tools
Time
Natural language processing
Open source"
747,Senior Data Scientist,iNICU,Delhi,1-5 Yrs,"rest
python
data domain
Forecasting
sql
Computer science
java
spark"
748,Data Scientist Machine Learning,NeenOpal Intelligent Solutions Pvt. Ltd.,Bengaluru,2-5 Yrs,"Usage
Machine learning"
749,Data Scientist,CAPITALCLOUD INDIA PRIVATE LIMITED,Bengaluru,2-4 Yrs,"Anomaly Detection
Predictive Modeling
bigdata
Text Analytics
Hadoop
Data Analysis
Data Mining
Spark"
750,Data Scientist,Tenzai,Bengaluru,3-8 Yrs,"Statistical modeling
Prototype
Analytical
Machine learning
data visualization
big data
MATLAB
Analytics"
751,Data Scientist,Intellectyx Inc,Coimbatore,2-7 Yrs,"deep learning
Python"
752,Data Scientist,Cove Venture,"Mumbai, Guntur",2-5 Yrs,"Unix
Computer science
deep learning
C++
SAS
sap fiori
Analytical
Machine learning"
753,Data Scientist Intrrnship in Mumbai,MAXGEN TECHNOLOGIES PRIVATE LIMITED,"Navi Mumbai, Thane, Mumbai(Sector-19D Vashi)",0-0 Yrs,"Data Science
data science internship in panvel
data science internship in kharghar
data science internship in navi mumbai
data science internship in vashi
data science internship in nerul
data science internship in sanpada"
754,Data Scientist,TRUECONNECT PEOPLE CONSULTING,Kolkata,2-7 Yrs,"Data Engineering
Data Integration"
755,Data Scientist,DEWII,Gurgaon,2-7 Yrs,"Hospitality
Computer vision
Artificial Intelligence
Machine learning
Manager Technology
Facility management
Monitoring
SQL"
756,Data Scientist (Technology),DiFin,Delhi,3-5 Yrs,Manager Technology
757,Data Scientist - NLP(Natural Language Processing),KEYS Inc,Coimbatore,3-8 Yrs,"Computer science
deep learning
Skill development
Social media
Machine learning
Hadoop
Programming
Natural language processing"
758,Data Scientist,Eyeota,Pune,2-7 Yrs,"Computer science
GCP
data manipulation
Machine learning
Agile
big data
AWS
Analytics"
759,Data Scientist / Sr. Data Scientist,PIRAMAL ENTERPRISES LTD,Vadodara,4-8 Yrs,"Computer science
Supply chain management
Prototype
Simulation
Machine learning
Agile
Analytics
SQL"
760,Data Scientist,Thoucentric,Bengaluru,1-2 Yrs,"NoSQL
Coding
cassandra
Neural networks
Machine learning
Data processing
MongoDB
Forecasting"
761,Data Scientist,Boppo Technologies Pvt. Ltd.,Mumbai,1-3 Yrs,"C++
Operations research
Analytical
Machine learning
data visualization
Data mining
Business intelligence
Statistics"
762,Data Scientist,krtrimaIQ AI Solutions,Bengaluru,3-5 Yrs,"Logistic regression
Data analysis
Interpersonal skills
tableau
Statistical analysis
QlikView
Business intelligence
Statistics"
763,Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Mumbai,2-7 Yrs,"Unix
Linux
Machine learning
HTML
Perl
Predictive analytics
Ruby
SQL"
764,Data Scientist,itForte Staffing Services Private Ltd.,Gurgaon,3-8 Yrs,"Text mining
Computer science
deep learning
Data analysis
Machine learning
Data collection
Agile
Investment management"
765,Data Scientist,Valence Health,Pune,3-6 Yrs,"Computer science
Administration
Claims
Analytical
Pharmacy
Machine learning
Healthcare
Analytics"
766,Data Scientist,Climate Connect,Pune,2-5 Yrs,Data Scientist
767,Data Scientist - IT,GridEdge Technologies,Pune,1-5 Yrs,"Computer science
Analytical
Machine learning
Data collection
Perl
data visualization
Data mining
MATLAB"
768,Data Scientist/ Analyst,Applied Data Finance,Chennai,2-3 Yrs,"g Python query language
MySQL Object Oriented program"
769,Data Scientist - Phd only,NDS Infoserv,Mumbai,0-2 Yrs,"Data Science
NLP
Machine Learning"
770,Data Scientist,Reubro International,"Kochi, Cochin/ Kochi/ Ernakulam",3-8 Yrs,"sap
data management
data mining
operations research
business solutions
api
machine learning
tools"
771,Data Scientist,Right Steps Consultancy,Pune,1-5 Yrs,"Data management
data science
Analytical
Machine learning
Research
Management
big data
Testing"
772,Data Scientist,Talentstack Consulting Private Limited,Mumbai,2-6 Yrs,"python
r
tableau
data analysis
data science
data mining
sql"
773,Data Scientist,O9 SOLUTIONS MANAGEMENT INDIA PRIVATE LIMITED,Bengaluru,3-5 Yrs,"Pytorch
Tensorflow
Anomaly Detection
Data Science
R
Supply Chain Planning
Demand Planning
Keras"
774,Data Scientist,PeopleStrong HR Services Pvt Ltd,Delhi,3-4 Yrs,Recruitment
775,Trainee Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Pune,3-8 Yrs,"Social media analytics
Excel
data science
SAS
Data management
HTML
Predictive modeling
SPSS"
776,Data Scientist,Reubro International,Kochi,3-8 Yrs,"sap
data management
data mining
operations research
business solutions
api
machine learning
tools"
777,Data Scientist,Talentstack Consulting Private Limited,Delhi NCR,2-6 Yrs,"python
r
tableau
data analysis
data science
data mining
sql"
778,Data Analyst / Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Noida,0-4 Yrs,"data science
Manager Technology
HTML
Mathematics
Data Analyst
SPSS
Statistics
Analytics"
779,Data Scientist,Talentstack Consulting Private Limited,Bengaluru,2-6 Yrs,"python
r
tableau
data analysis
data science
data mining
sql"
780,Data Scientist,krtrimaIQ AI Solutions,Bengaluru,3-5 Yrs,"Logistic regression
Data analysis
Interpersonal skills
tableau
Statistical analysis
QlikView
Business intelligence
Statistics"
781,Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Mumbai,2-7 Yrs,"Unix
Linux
Machine learning
HTML
Perl
Predictive analytics
Ruby
SQL"
782,Data Scientist,itForte Staffing Services Private Ltd.,Gurgaon,3-8 Yrs,"Text mining
Computer science
deep learning
Data analysis
Machine learning
Data collection
Agile
Investment management"
783,Data Scientist,NEEMTREE INTERNET PVT LTD,Mumbai,2-5 Yrs,"Supply chain
Computer science
C++
MySQL
Machine learning
Javascript
Data structures
Data mining"
784,Data Analyst / Data Scientist,Veda Semantics,Bengaluru,3-5 Yrs,"Health insurance
Analytical
Relationship building
Machine learning
Data collection
Wellness
Business Development Executive
Customer service"
785,Data Scientist - Phd only,NDS Infoserv,Mumbai,0-2 Yrs,"Data Science
NLP
Machine Learning"
786,Data Scientist,Korgen Technologies (P) Limited,Chennai,3-5 Yrs,"System architecture
Modification
advanced analytics
Data analysis
Analytical
Map Reduce
Technical
Data mining"
787,Data Scientist,Reubro International,Kochi,3-8 Yrs,"sap
data management
data mining
operations research
business solutions
api
machine learning
tools"
788,Data Scientist / Engineer,FrankPro Consulting [OPC],Ahmedabad,3-7 Yrs,Data Scientist / Engineer
789,Data Scientist,Talentstack Consulting Private Limited,Bengaluru,2-6 Yrs,"python
r
tableau
data analysis
data science
data mining
sql"
790,Data Scientist,NICE Ltd,Pune,3-6 Yrs,"Computer science
Automation
SAS
SPSS
Data mining
Risk management
Business intelligence
Macros"
791,"Gramener is hiring ""Data Scientist Experts"" with Banking Domain",Gramener Technology - Data-science Firm,"Mumbai, Bengaluru, Hyderabad",5-8 Yrs,"Predictive Modeling
Business Insights
Data Architecture
Data Analytics
Machine Learning
Statistics"
792,Data Scientist,HR Devi and Associates,Trivandrum,4-6 Yrs,"Help Desk
Customer Service
customer relationship
access controls
Telephony support
Asset Management
Vendor Management
Information"
793,Data Scientist,Tech Ringers,Hyderabad,8-13 Yrs,"BPO
RF
Image processing
Staffing
Pharma
Artificial Intelligence
Consulting
Machine learning"
794,Data Scientist,Mahajan Imaging,"Delhi, Bengaluru, Hyderabad",4-6 Yrs,"Medical imaging
PDF
Email
Imaging
Radiology
Clinical research
Doc
Mammography"
795,Chief Data Scientist - Machine Learning/python,Catalyst,Bengaluru,7-12 Yrs,"Data Science
R
Algorithms
Data Structures
Hadoop
Spark
Demand Forecasting
Machine Learning"
796,Data Scientist,Talentstack Consulting Private Limited,Mumbai,2-6 Yrs,"python
r
tableau
data analysis
data science
data mining
sql"
797,Data Scientist,NICE Ltd,Pune,3-6 Yrs,"Computer science
Automation
SAS
SPSS
Data mining
Risk management
Business intelligence
Macros"
798,Data Scientist,Talentstack Consulting Private Limited,Delhi NCR,2-6 Yrs,"python
r
tableau
data analysis
data science
data mining
sql"
799,Data Scientist - Quality Assurance,NICE Ltd,Pune,3-5 Yrs,"Data analysis
Manager Quality Assurance
data science
Analytical
Machine learning
Anti money laundering
OLAP
Analytics"
800,Data Scientist,AXCESS CONSULTANCY SERVICES,Chennai,0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
801,Data Scientist,placementplanet,Ahmedabad,2-3 Yrs,"Machine learning
Data collection
Programming
Data mining
Analytics"
802,Associate Data Scientist,Augmance AI Labs Private Limited,Bengaluru,1-6 Yrs,"Nltk
Data Science
r
NLP
Artificial Intelligence
Keras
Marketing Analytics
Machine Learning"
803,ML Engineer/Statistician/Data Scientist Pre - IPO Unicorn,CareerXperts Consulting,Bengaluru,3-5 Yrs,"Computer science
Analytical skills
Consulting
Machine learning
Data structures
Mathematics
Open source
big data"
804,Sr. DATA SCIENTIST,defour analytics,Pune,3-8 Yrs,"Automation
Project management
Pharma
Analytical
Tools
data visualization
Data mining
Automotive"
805,Data Analyst / Data Scientist,Veda Semantics,Bengaluru,3-5 Yrs,"Health insurance
Analytical
Relationship building
Machine learning
Data collection
Wellness
Business Development Executive
Customer service"
806,Data Scientist,Yoodle,Bengaluru,1-5 Yrs,"Computer science
Manager Quality Assurance
Neural networks
Machine learning
Data processing
Natural language processing
Predictive modeling
MATLAB"
807,Data Scientist,Arraygen Technologies Pvt Ltd,Pune,1-4 Yrs,"Computer science
Logistic regression
Data analysis
Statistical modeling
Trend analysis
Hypothesis Testing
Design development
Predictive modeling"
808,Data Scientist,Hire IT People,Pune,2-6 Yrs,"Computer science
Statistical analysis
spark
Machine learning
Hadoop
big data
Statistics
Supervision"
809,Immediate Opening - Data Scientist For a Leading Company at Chennai,Inesh Management Consultancy,Chennai,2-5 Yrs,"Data Analysis
Analytics"
810,Data Scientist,Toucon Consulting,Mumbai,1-5 Yrs,"Computer vision
deep learning
Opencv
Machine learning
Packaging
Data structures
Calculus
Statistics"
811,Opening For Data Scientist in Axtria,Axtria India Private Limited,"Bengaluru, Gurgaon, Noida",7-12 Yrs,"forecasting.
market analytics
decision science
market mix model
SAS
pharma analytics
predictive analytics
statistical model"
812,Immediate job Opening For Data Scientist@hyderabad,Idexcel Technologies Private Limited,Hyderabad,6-11 Yrs,"Data Science
R
Cloudera
Big Data
Spark
Impala
Python"
813,Chief Data Scientist - Machine Learning/python,Catalyst,Bengaluru,7-12 Yrs,"Data Science
R
Algorithms
Data Structures
Hadoop
Spark
Demand Forecasting
Machine Learning"
814,Database Administrator / Data Scientist,The Dollar Business,Hyderabad,5-7 Yrs,"NoSQL
Data management
RDBMS
MySQL
Machine learning
MongoDB
Natural language processing
Data mining"
815,Data Scientist,AXCESS CONSULTANCY SERVICES,Bengaluru,0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
816,Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,2-5 Yrs,"Statistical modeling
Renewable energy
Artificial Intelligence
Machine learning
Intellectual property
Algorithm development
Data structures
Natural language processing"
817,Data Scientist,AXCESS CONSULTANCY SERVICES,"Gurgaon, haryana",0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
818,Lead / principal Data Scientist,AXCESS CONSULTANCY SERVICES,Bengaluru,0-5 Yrs,"Operations research
Analytical
Machine learning
linear regression
Data quality
Oracle
Data mining
Digital marketing"
819,Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,2-5 Yrs,"Statistical modeling
Renewable energy
Artificial Intelligence
Machine learning
Intellectual property
Algorithm development
Data structures
Natural language processing"
820,Data Scientist,krtrimaIQ AI Solutions,Bengaluru,3-5 Yrs,"Logistic regression
Data analysis
Interpersonal skills
tableau
Statistical analysis
QlikView
Business intelligence
Statistics"
821,Data Scientist,AXCESS CONSULTANCY SERVICES,Gurgaon,0-4 Yrs,"Product management
SAS
Coding
Bfsi
MySQL
Data structures
Analytics
Monitoring"
822,Data Scientist,placementplanet,Ahmedabad,2-3 Yrs,"Machine learning
Data collection
Programming
Data mining
Analytics"
823,Senior Data Scientist,TechVantage Systems Private Limited,Trivandrum,2-5 Yrs,"Computer science
data cleansing
deep learning
Product engineering
Machine learning
Predictive modeling
data visualization
Data mining"
824,Data Scientist,Sequretek IT Solutions Pvt. Ltd.,Bengaluru,1-4 Yrs,"IT Skills
Python
Data Science
Machine Learning
Computer science
algorithms
python
data security"
825,Data Scientist,Yoodle,Bengaluru,1-5 Yrs,"Computer science
Manager Quality Assurance
Neural networks
Machine learning
Data processing
Natural language processing
Predictive modeling
MATLAB"
826,Data Scientist,R3coder,Ahmedabad,1-6 Yrs,"github
Web technologies
Architecture
Artificial Intelligence
Machine learning
PHP
Customer experience
Internship"
827,Data Scientist,"Entytle, Iinc.",Pune,2-4 Yrs,"Product management
Computer science
Cloud computing
Data analysis
GIT
Analytical
Machine learning
Agile"
828,Data Scientist,Toucon Consulting,Mumbai,1-5 Yrs,"Computer vision
deep learning
Opencv
Machine learning
Packaging
Data structures
Calculus
Statistics"
829,Lead Data Scientist,Wells Fargo India Solutions Pvt. Ltd.,Bengaluru,6-10 Yrs,"Data analysis
Automation
data science
Analytical
Machine learning
Banking
SAS R
Predictive modeling"
830,Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,2-5 Yrs,"Statistical modeling
Renewable energy
Artificial Intelligence
Machine learning
Intellectual property
Algorithm development
Data structures
Natural language processing"
831,Lead / principal Data Scientist,AXCESS CONSULTANCY SERVICES,Bengaluru,0-5 Yrs,"Operations research
Analytical
Machine learning
linear regression
Data quality
Oracle
Data mining
Digital marketing"
832,Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,2-5 Yrs,"Statistical modeling
Renewable energy
Artificial Intelligence
Machine learning
Intellectual property
Algorithm development
Data structures
Natural language processing"
